,en,ko,type
2429,journey,여행,noun
2430,reputation,평판,noun
2431,mixture,혼합물,noun
2433,tower,탑,noun
2434,smoke,연기,noun
2438,dimension,치수,noun
2439,toy,장난감,noun
2440,prisoner,죄인,noun
2444,peer,또래,noun
2445,designer,디자이너,noun
2446,personnel,인원,noun
2448,educator,교육자,noun
2449,relative,상대적인,noun
2450,immigration,이민,noun
2451,belt,벨트,noun
2452,teaspoon,티스푼,noun
2453,birthday,생신,noun
2454,implication,함축,noun
2456,coast,해안,noun
2457,supporter,서포터,noun
2459,silver,은,noun
2460,teenager,십대,noun
2461,recognition,인식,noun
2462,retirement,퇴직,noun
2463,flag,깃발,noun
2464,recovery,회복,noun
2466,watch,보다,noun
2467,gentleman,신사,noun
2468,corn,옥수수,noun
2469,moon,달,noun
2473,throat,목,noun
2474,salary,샐러리,noun
2476,observer,관찰자,noun
2479,publication,출판,noun
2481,crop,수확고,noun
2483,strike,스트라이크,noun
2486,phenomenon,현상,noun
2487,anxiety,불안,noun
2492,convention,협약,noun
2496,exhibition,전시회,noun
2498,viewer,뷰어,noun
2499,pan,팬,noun
2500,consultant,컨설턴트,noun
2503,administrator,관리자,noun
2506,mayor,시장,noun
2507,consideration,고려 사항,noun
2508,CEO,최고 경영자,noun
2512,estimate,추정,noun
2513,buck,책임,noun
2515,poem,시,noun
2516,grandmother,할머니,noun
2520,enterprise,기업,noun
2522,testing,테스트,noun
2523,stomach,위,noun
2528,suggestion,제안,noun
2529,mail,우편,noun
2530,recipe,레시피,noun
2532,preparation,준비,noun
2535,concert,콘서트,noun
2538,intention,의도,noun
2539,channel,채널,noun
2541,tube,튜브,noun
2542,drawing,그림,noun
2543,protein,단백질,noun
2545,absence,결석,noun
2546,roll,롤,noun
2549,jail,교도소,noun
2551,diversity,다양성,noun
2554,pace,속도,noun
2555,employment,고용,noun
2556,speaker,스피커,noun
2557,impression,인상,noun
2558,essay,수필,noun
2559,respondent,응답자,noun
2561,cake,케이크,noun
2562,historian,역사가,noun
2568,specialist,전문가,noun
2569,origin,기원,noun
2570,approval,승인,noun
2571,mine,나의 것,noun
2575,drop,하락,noun
2576,count,세다,noun
2577,depth,깊이,noun
2578,wealth,재산,noun
2579,disability,무능,noun
2580,shell,껍데기,noun
2584,professional,직업적인,noun
2587,pack,팩,noun
2588,onion,양파,noun
2589,deputy,대리인,noun
2591,brand,상표,noun
2594,award,상,noun
2595,criteria,기준,noun
2596,dealer,상인,noun
2599,utility,공익사업,noun
2604,highway,고속도로,noun
2606,routine,루틴,noun
2608,wage,값,noun
2610,phrase,구절,noun
2611,ingredient,재료,noun
2612,stake,말뚝,noun
2615,fiber,섬유,noun
2616,activist,활동가,noun
2619,terrorism,테러,noun
2620,refugee,난민,noun
2622,hip,잘 알고 있기,noun
2625,corporation,법인,noun
2627,assumption,추정,noun
2628,gear,기어,noun
2630,barrier,장벽,noun
2632,provision,공급,noun
2633,killer,살인자,noun
2635,gang,한 떼,noun
2638,chemical,화학적인,noun
2640,label,상표,noun
2641,teen,비탄,noun
2642,index,인덱스,noun
2643,vacation,휴가,noun
2644,advocate,지지하다,noun
2645,draft,초안,noun
2647,heaven,천국,noun
2652,drama,드라마,noun
2653,satellite,위성,noun
2655,wonder,궁금하다,noun
2656,clock,시계,noun
2657,chocolate,초콜릿,noun
2660,ceiling,천장,noun
2662,advertising,광고하는,noun
2666,button,단추,noun
2667,bell,벨,noun
2668,rank,계급,noun
2669,darkness,어둠,noun
2671,clothing,의류,noun
2674,fence,울타리,noun
2675,portrait,초상화,noun
2676,paint,페인트,noun
2677,survival,활착,noun
2679,lawsuit,소송,noun
2681,testimony,고백,noun
2682,bunch,다발,noun
2683,beat,이기다,noun
2686,burden,부담,noun
2688,chamber,방,noun
2689,furniture,가구,noun
2690,cooperation,협력,noun
2691,string,끈,noun
2692,ceremony,의식,noun
2695,cheek,볼,noun
2697,profile,프로필,noun
2698,mechanism,기구,noun
2701,penalty,패널티,noun
2702,match,성냥,noun
2705,resort,의지,noun
2706,destruction,파괴,noun
2707,bear,곰,noun
2709,tissue,조직,noun
2711,pant,바지,noun
2712,stranger,낯선 사람,noun
2713,infection,전염병,noun
2714,cabinet,내각,noun
2716,apple,사과,noun
2722,virus,바이러스,noun
2724,dispute,논쟁,noun
2725,fortune,행운,noun
2727,assistant,어시스턴트,noun
2731,statistics,통계,noun
2732,shopping,쇼핑,noun
2733,cousin,사촌,noun
2738,white,하얀,noun
2739,port,포트,noun
2741,electricity,전기,noun
2743,adviser,고문,noun
2744,pay,지불,noun
2745,spokesman,대변인,noun
2748,incentive,자극,noun
2749,slave,노예,noun
2754,terror,공포,noun
2756,expansion,확장,noun
2757,elite,엘리트,noun
2759,dirt,흙,noun
2761,rice,쌀,noun
2762,bullet,총알,noun
2764,Bible,성경,noun
2765,chart,차트,noun
2767,decline,감소,noun
2768,conservative,보수적인,noun
2771,stick,막대,noun
2772,concentration,집중,noun
2775,champion,챔피언,noun
2776,scenario,대본,noun
2777,telescope,망원경,noun
2778,reflection,반사,noun
2779,revolution,혁명,noun
2780,strip,조각,noun
2783,tournament,토너먼트,noun
2784,fiction,소설,noun
2789,lifetime,일생,noun
2790,recommendation,추천,noun
2792,senator,평의원,noun
2794,hunting,수렵,noun
2795,salad,샐러드,noun
2798,boundary,경계,noun
2801,satisfaction,만족,noun
2802,journal,신문,noun
2803,bench,벤치,noun
2804,lover,애인,noun
2806,awareness,의식,noun
2809,general,일반,noun
2810,deck,갑판,noun
2813,pole,폴,noun
2815,mode,방법,noun
2816,dialogue,대화,noun
2820,founder,설립자,noun
2823,pride,자부심,noun
2825,aircraft,항공기,noun
2826,delivery,배달,noun
2830,platform,플랫폼,noun
2831,finance,재원,noun
2838,joy,기쁨,noun
2839,worth,가치,noun
2842,singer,가수,noun
2844,shooting,촬영,noun
2848,offense,위반,noun
2849,counter,카운터,noun
2850,DNA,DNA,noun
2851,smell,냄새,noun
2853,transfer,옮기다,noun
2856,protest,항의,noun
2857,crash,크래시,noun
2858,craft,선박,noun
2859,treaty,조약,noun
2860,terrorist,테러리스트,noun
2861,insight,통찰력,noun
2865,lie,거짓말하다,noun
2867,episode,삽화,noun
2871,fault,잘못,noun
2879,mix,혼합,noun
2880,assault,폭행,noun
2882,stair,계단,noun
2883,adventure,모험,noun
2885,proof,증거,noun
2887,headquarters,본부,noun
2890,violation,위반,noun
2891,tongue,혀,noun
2892,license,특허,noun
2893,hold,잡고 있다,noun
2894,shelter,대피소,noun
2896,controversy,논쟁,noun
2897,entrance,입구,noun
2898,favorite,가장 좋아하는,noun
2903,tragedy,비극,noun
2904,net,그물,noun
2906,funeral,장례식,noun
2907,profession,직업,noun
2911,establishment,설립,noun
2913,imagination,상상력,noun
2915,mask,마스크,noun
2919,presentation,프레젠테이션,noun
2924,introduction,소개,noun
2929,representation,대표,noun
2930,deer,사슴,noun
2933,partnership,협력 관계,noun
2934,pollution,오염,noun
2935,emission,방사,noun
2939,fate,운명,noun
2940,earnings,수입,noun
2941,oven,오븐,noun
2942,distinction,구별,noun
2943,segment,분절,noun
2945,poet,시인,noun
2948,variation,변화,noun
2949,comfort,편안,noun
2954,honey,꿀,noun
2955,correspondent,거래처,noun
2957,musician,음악가,noun
2958,significance,중요성,noun
2959,load,짐,noun
2961,vessel,선박,noun
2962,storage,저장,noun
2965,leather,가죽,noun
2967,evolution,진화,noun
2969,tribe,부족,noun
2970,shelf,선반,noun
2971,can,~할 수 있다,noun
2972,grandfather,할아버지,noun
2973,lawn,잔디,noun
2974,buyer,사는 사람,noun
2975,dining,식사,noun
2976,wisdom,지혜,noun
2977,council,이사회,noun
2979,instance,사례,noun
2980,garlic,마늘,noun
2981,capability,능력,noun
2982,poetry,시,noun
2983,celebrity,유명 인사,noun
2985,stability,안정,noun
2987,fantasy,공상,noun
2990,plot,구성,noun
2991,framework,뼈대,noun
2992,gesture,몸짓,noun
2995,psychology,심리학,noun
2997,counselor,참사관,noun
2999,chapter,장,noun
3000,fellow,사람,noun
3001,divorce,이혼,noun
3003,pipe,파이프,noun
3006,math,수학,noun
3007,shade,그늘,noun
3008,tail,꼬리,noun
3011,obligation,의무,noun
3012,angle,각도,noun
3013,palm,손바닥,noun
3015,custom,커스텀,noun
3017,economist,경제학자,noun
3019,soup,수프,noun
3020,celebration,축하,noun
3023,composition,구성,noun
3025,pile,말뚝,noun
3027,carbon,탄소,noun
3030,scheme,계획,noun
3031,crack,금이 가다,noun
3032,frequency,빈도,noun
3033,tobacco,담배,noun
3034,survivor,살아남은 사람,noun
3037,psychologist,심리학자,noun
3039,galaxy,은하,noun
3042,ski,스키,noun
3043,limitation,한정,noun
3046,appointment,약속,noun
3047,preference,선호,noun
3048,meter,미터,noun
3049,explosion,폭발,noun
3050,arrest,체포,noun
3053,fighter,전투기,noun
3055,admission,가입,noun
3056,hunter,사냥꾼,noun
3059,friendship,우정,noun
3060,aide,보좌관,noun
3061,infant,유아,noun
3065,porch,현관,noun
3066,tendency,성향,noun
3067,uniform,제복,noun
3068,formation,형성,noun
3069,scholarship,장학금,noun
3070,reservation,예약,noun
3071,efficiency,능률,noun
3074,mall,쇼핑 센터,noun
3076,scandal,스캔들,noun
3077,PC,PC,noun
3080,heel,힐,noun
3082,privacy,은둔,noun
3083,fabric,구조,noun
3085,contest,대회,noun
3086,proportion,비율,noun
3087,guideline,지침,noun
3088,rifle,소총,noun
3089,maintenance,유지,noun
3090,conviction,확신,noun
3091,trick,장난,noun
3093,tent,텐트,noun
3094,examination,시험,noun
3095,publisher,발행자,noun
3097,French,프랑스 국민,noun
3099,myth,신화,noun
3101,cow,암소,noun
3103,standing,서 있는,noun
3105,tennis,테니스,noun
3106,nerve,신경 이상,noun
3107,barrel,통,noun
3108,bombing,폭격,noun
3109,membership,멤버십,noun
3110,ratio,비율,noun
3111,menu,메뉴,noun
3112,purchase,구입,noun
3116,lifestyle,생활 양식,noun
3117,humor,기분,noun
3119,glove,장갑,noun
3120,suspect,의심하다,noun
3122,narrative,이야기,noun
3123,photographer,사진 작가,noun
3124,helicopter,헬리콥터,noun
3125,Catholic,가톨릭,noun
3127,provider,공급자,noun
3128,delay,지연,noun
3131,stroke,뇌졸중,noun
3132,scope,범위,noun
3133,punishment,처벌,noun
3134,handful,줌,noun
3136,horizon,수평선,noun
3139,girlfriend,여자 친구,noun
3142,cholesterol,콜레스테롤,noun
3144,adjustment,조정,noun
3145,taxpayer,납세자,noun
3147,principal,주요한,noun
3149,motivation,동기 부여,noun
3150,assignment,과제,noun
3151,restriction,제한,noun
3153,Palestinian,팔레스타인 사람,noun
3154,laboratory,실혐실,noun
3155,workshop,작업장,noun
3157,auto,자동,noun
3159,cotton,면,noun
3160,motor,모터,noun
3162,flavor,맛,noun
3166,sequence,순서,noun
3167,demonstration,데모,noun
3168,jet,제트기,noun
3170,consumption,소비,noun
3172,blade,잎,noun
3174,medication,약물,noun
3176,cabin,선실,noun
3179,edition,판,noun
3180,valley,골짜기,noun
3182,pitch,정점,noun
3183,pine,소나무,noun
3186,manufacturing,조작,noun
3188,Christian,신자,noun
3189,complex,복잡한,noun
3191,chef,요리사,noun
3192,discrimination,차별,noun
3194,German,독일 사람,noun
3196,boom,팔,noun
3199,heritage,유산,noun
3200,God,하나님,noun
3204,shit,똥,noun
3205,lemon,레몬,noun
3211,economics,경제학,noun
3214,nut,너트,noun
3215,legacy,유산,noun
3216,extension,확대,noun
3218,fly,파리,noun
3219,battery,배터리,noun
3220,arrival,도착,noun
3222,orientation,정위,noun
3223,inflation,인플레이션,noun
3225,flame,불꽃,noun
3226,cluster,무리,noun
3228,wound,상처,noun
3230,shower,샤워,noun
3233,operating,운영,noun
3234,flesh,육체,noun
3235,garage,차고,noun
3236,operator,운영자,noun
3237,instructor,강사,noun
3241,comedy,코메디,noun
3242,mortgage,저당,noun
3243,sanction,제재,noun
3247,habitat,서식지,noun
3248,grain,곡물,noun
3250,consciousness,의식,noun
3253,measurement,측정,noun
3254,province,주,noun
3257,ethics,윤리학,noun
3258,nomination,지명,noun
3259,permission,허가,noun
3261,actress,여배우,noun
3262,summit,정상 회담,noun
3263,acid,산,noun
3264,odds,승산,noun
3266,frustration,좌절,noun
3267,medium,중간,noun
3270,grant,승인하다,noun
3272,shore,지주,noun
3274,lung,폐,noun
3280,discourse,담화,noun
3281,basket,바구니,noun
3283,fighting,화이팅,noun
3285,competitor,경쟁자,noun
3289,powder,가루,noun
3290,ghost,귀신,noun
3295,cookie,쿠키,noun
3296,carrier,담체,noun
3297,cooking,요리,noun
3300,swing,그네,noun
3301,orange,주황색,noun
3304,pet,애완 동물,noun
3305,miracle,기적,noun
3307,rhythm,율,noun
3309,killing,죽이는,noun
3311,sin,죄,noun
3312,charity,자선 단체,noun
3313,script,스크립트,noun
3314,tactic,술책,noun
3315,identification,신분증,noun
3316,transformation,변환,noun
3318,headline,표제,noun
3320,venture,투기,noun
3321,invasion,침입,noun
3322,military,군대,noun
3325,piano,피아노,noun
3326,grocery,식료품점,noun
3327,intensity,강함,noun
3330,blanket,담요,noun
3331,margin,여유,noun
3333,quarterback,쿼터백,noun
3334,mouse,생쥐,noun
3335,rope,로프,noun
3337,prescription,처방,noun
3341,brick,벽돌,noun
3343,patch,반점,noun
3344,consensus,의견 일치,noun
3345,horror,공포,noun
3346,recording,녹음,noun
3348,painter,화가,noun
3350,pie,파이,noun
3351,sake,사케,noun
3352,gaze,시선,noun
3353,courage,용기,noun
3354,pregnancy,임신,noun
3357,clue,단서,noun
3359,win,이기다,noun
3360,confusion,착란,noun
3361,slice,일부분,noun
3362,occupation,직업,noun
3364,coal,석탄,noun
3366,criminal,범인,noun
3367,formula,공식,noun
3371,uncle,삼촌,noun
3372,square,정사각형,noun
3373,captain,선장,noun
3380,gallery,갤러리,noun
3381,soccer,축구,noun
3382,defendant,피고,noun
3383,tunnel,터널,noun
3384,fitness,적합,noun
3385,lap,무릎,noun
3386,grave,무덤,noun
3387,toe,발가락,noun
3388,container,컨테이너,noun
3389,virtue,덕,noun
3391,architect,건축가,noun
3393,makeup,구성하다,noun
3394,inquiry,문의,noun
3395,rose,장미,noun
3399,indication,표시,noun
3400,rail,레일,noun
3401,anniversary,기념일,noun
3402,couch,침상,noun
3403,alliance,동맹,noun
3404,hypothesis,가설,noun
3405,boyfriend,남자 친구,noun
3408,mess,엉망,noun
3410,legend,전설,noun
3412,adolescent,한창 젊은,noun
3414,norm,표준,noun
3416,remark,주목,noun
3418,reward,보상,noun
3421,organ,오르간,noun
3425,laughter,웃음,noun
3427,northwest,북서,noun
3428,counseling,상담,noun
3430,receiver,수화기,noun
3431,ritual,의식,noun
3432,insect,곤충,noun
3434,salmon,연어,noun
3435,favor,호의,noun
3436,trading,거래,noun
3440,combat,전투,noun
3441,stem,줄기,noun
3442,surgeon,외과 의사,noun
3444,physics,물리학,noun
3445,rape,강간,noun
3446,counsel,조언,noun
3447,brush,브러시,noun
3448,jeans,청바지,noun
3451,log,통나무,noun
3453,pill,알약,noun
3455,sculpture,조각품,noun
3456,compound,화합물,noun
3458,flour,밀가루,noun
3461,slope,경사,noun
3463,presidency,통솔,noun
3464,serving,피복재,noun
3467,bishop,주교,noun
3468,drinking,음주,noun
3470,cry,울다,noun
3471,acceptance,수락,noun
3472,collapse,무너지다,noun
3474,pump,펌프,noun
3475,candy,사탕,noun
3476,evil,사악한,noun
3477,final,결정적인,noun
3480,medal,메달,noun
3486,export,내보내다,noun
3489,midnight,자정,noun
3491,curve,곡선,noun
3492,integrity,진실성,noun
3495,logic,논리,noun
3496,essence,본질,noun
3500,closet,옷장,noun
3504,interior,내부,noun
3505,corridor,복도,noun
3508,pitcher,피처,noun
3510,snake,뱀,noun
3513,cross,십자가,noun
3514,weakness,약점,noun
3515,pig,돼지,noun
3516,cold,추운,noun
3519,T-shirt,티셔츠,noun
3521,unemployment,실업,noun
3522,civilization,문명,noun
3525,pop,팝,noun
3529,correlation,상관관계,noun
3530,humanity,인류,noun
3532,developer,개발자,noun
3534,excitement,흥분,noun
3535,beef,쇠고기,noun
3536,Islam,이슬람교,noun
3538,stretch,뻗기,noun
3539,architecture,건축물,noun
3542,elbow,팔꿈치,noun
3544,Muslim,이슬람교도,noun
3546,allegation,진술,noun
3549,airplane,비행기,noun
3551,duck,오리,noun
3552,dose,정량,noun
3556,lecture,강의,noun
3557,van,봉고차,noun
3559,bay,만,noun
3561,suburb,근교,noun
3562,sandwich,샌드위치,noun
3564,trunk,트렁크,noun
3565,rumor,소문,noun
3566,implementation,구현,noun
3573,cloth,천,noun
3576,effectiveness,유효성,noun
3578,lens,렌즈,noun
3579,reach,도달하다,noun
3580,inspector,조사관,noun
3583,fraud,사기,noun
3584,companion,동반자,noun
3586,nail,못,noun
3587,array,정렬,noun
3591,rat,쥐,noun
3593,hallway,현관,noun
3594,cave,동굴,noun
3596,southwest,남서,noun
3597,monster,괴물,noun
3601,obstacle,장애,noun
3603,encounter,맞닥뜨리다,noun
3605,herb,목초,noun
3607,integration,완성,noun
3608,crystal,결정,noun
3609,recession,경기 후퇴,noun
3610,wish,소망,noun
3613,motive,동기,noun
3615,flood,홍수,noun
3616,pen,펜,noun
3617,ownership,소유권,noun
3618,nightmare,악몽,noun
3619,notice,알아채다,noun
3620,inspection,점검,noun
3621,supervisor,감독자,noun
3623,arena,투기장,noun
3624,laugh,웃다,noun
3625,diagnosis,진단,noun
3626,possession,소유,noun
3630,basement,최하부,noun
3635,prosecution,기소,noun
3637,announcement,발표,noun
3638,warrior,전사,noun
3639,prediction,예측,noun
3640,bacteria,박테리아,noun
3641,questionnaire,설문지,noun
3642,mud,진흙,noun
3643,infrastructure,하부 구조,noun
3645,privilege,특권,noun
3646,temple,절,noun
3651,broadcast,방송,noun
3656,wrist,손목,noun
3657,curtain,커튼,noun
3658,monitor,감시 장치,noun
3659,pond,연못,noun
3660,domain,도메인,noun
3661,guilt,죄,noun
3662,cattle,가축,noun
3664,walking,걷는,noun
3665,playoff,플레이 오프,noun
3668,skirt,치마,noun
3671,database,데이터 베이스,noun
3673,aim,겨냥하다,noun
3675,limb,수족,noun
3676,ideology,관념론,noun
3681,harm,피해,noun
3682,railroad,철도,noun
3684,radiation,방사능,noun
3685,horn,뿔,noun
3688,innovation,혁신,noun
3689,strain,부담,noun
3690,guitar,기타,noun
3691,replacement,바꿔 놓음,noun
3695,dancer,춤추는 사람,noun
3696,amendment,개정,noun
3698,pad,인주,noun
3699,transmission,전염,noun
3705,grace,우아함,noun
3708,colony,식민지,noun
3709,adoption,양자,noun
3710,slide,미끄러지 다,noun
3714,civilian,일반 민간인,noun
3715,towel,수건,noun
3717,particle,입자,noun
3719,glance,섬광,noun
3720,prize,상,noun
3721,landing,착륙,noun
3722,conduct,지휘하다,noun
3723,blue,푸른,noun
3725,bat,박쥐,noun
3726,alarm,경보,noun
3727,festival,제전,noun
3728,grip,꽉 붙잡음,noun
3731,freshman,신입생,noun
3732,sweat,땀,noun
3734,European,유럽 ​​사람,noun
3738,separation,분리,noun
3742,southeast,남동,noun
3745,ballot,투표권,noun
3746,rhetoric,수사학,noun
3749,vitamin,비타민,noun
3750,enthusiasm,열광,noun
3754,wilderness,황야,noun
3757,mandate,위임,noun
3758,pause,정지시키다,noun
3759,excuse,변명,noun
3761,uncertainty,불확실성,noun
3762,chaos,혼돈,noun
3765,canvas,캔버스,noun
3768,lobby,로비,noun
3770,format,체재,noun
3771,trait,특성,noun
3772,currency,통화,noun
3773,turkey,칠면조,noun
3774,reserve,예약하다,noun
3775,beam,빔,noun
3777,astronomer,천문학 자,noun
3778,corruption,부패,noun
3779,contractor,계약자,noun
3781,doctrine,교의,noun
3783,thumb,무지,noun
3784,unity,단일성,noun
3785,compromise,타협,noun
3792,rush,서두르다,noun
3794,complexity,복잡성,noun
3795,fork,포크,noun
3796,disk,디스크,noun
3798,suspicion,의심,noun
3799,lock,자물쇠,noun
3800,finish,마치다,noun
3801,residence,거주,noun
3802,shame,창피,noun
3804,sidewalk,보도,noun
3805,Olympics,올림픽,noun
3807,signature,서명,noun
3811,rebel,반역자,noun
3814,spouse,배우자,noun
3815,fluid,체액,noun
3816,pension,연금,noun
3819,sodium,나트륨,noun
3820,blow,불다,noun
3821,promotion,프로모션,noun
3823,forehead,이마,noun
3827,hook,훅,noun
3828,detective,형사,noun
3829,traveler,여행자,noun
3831,compensation,보상,noun
3833,exit,출구,noun
3834,attraction,끌어 당김,noun
3837,pickup,찾다,noun
3839,needle,바늘,noun
3840,belly,배,noun
3843,portfolio,포트폴리오,noun
3844,shuttle,우주선,noun
3846,timing,타이밍,noun
3847,engagement,약혼,noun
3848,ankle,발목,noun
3849,transaction,거래,noun
3851,counterpart,짝,noun
3855,rider,타는 사람,noun
3856,doll,인형,noun
3857,noon,정오,noun
3858,exhibit,전시하다,noun
3867,carbohydrate,탄수화물,noun
3868,liberty,자유,noun
3869,poster,포스터,noun
3870,theology,신학,noun
3873,oxygen,산소,noun
3875,magic,마법,noun
3876,sum,합집합,noun
3878,businessman,실업가,noun
3881,determination,결정,noun
3882,donor,기증자,noun
3884,pastor,목사,noun
3885,jazz,재즈,noun
3886,opera,오페라,noun
3887,Japanese,일본어,noun
3888,bite,깨물다,noun
3891,acquisition,인수,noun
3892,pit,피트,noun
3894,wildlife,야생 동물,noun
3896,giant,거대한,noun
3897,primary,일 순위,noun
3898,equity,형평성,noun
3900,doorway,출입구,noun
3901,departure,출발,noun
3902,elevator,엘리베이터,noun
3904,guidance,안내,noun
3905,happiness,행복,noun
3906,statue,동상,noun
3907,pursuit,추구,noun
3908,repair,수리하다,noun
3910,gym,헬스장,noun
3912,clerk,사무원,noun
3913,Israeli,이스라엘 인,noun
3914,envelope,봉투,noun
3915,reporting,보고,noun
3916,destination,목적지,noun
3917,fist,주먹,noun
3919,exploration,탐구,noun
3921,bath,욕조,noun
3922,rescue,구조하다,noun
3925,indicator,지시자,noun
3926,sunlight,햇빛,noun
3927,feedback,피드백,noun
3928,spectrum,스펙트럼,noun
3930,laser,레이저,noun
3933,starting,시작,noun
3934,expertise,전문적 지식,noun
3938,tune,곡조,noun
3939,eating,먹기,noun
3942,hint,힌트,noun
3944,parade,퍼레이드,noun
3946,realm,왕국,noun
3947,ban,반,noun
3951,therapist,치료사,noun
3954,pizza,피자,noun
3955,recipient,받는 사람,noun
3958,accounting,회계,noun
3960,bias,편견,noun
3962,metaphor,은유,noun
3963,candle,양초,noun
3964,handle,핸들,noun
3965,worry,걱정하다,noun
3967,entity,실재,noun
3968,suffering,고통,noun
3970,feel,느끼다,noun
3971,lamp,램프,noun
3972,garbage,쓰레기,noun
3973,servant,하인,noun
3974,addition,덧셈,noun
3978,inside,내부에,noun
3979,reception,리셉션,noun
3982,chin,턱,noun
3984,necessity,필요성,noun
3986,racism,민족적 우월감,noun
3987,starter,기동기,noun
3989,banking,은행업,noun
3991,gravity,중력,noun
3994,prevention,방지,noun
3995,Arab,아라비아 사람,noun
3999,performer,수행자,noun
4000,intent,의지,noun
4003,inventory,목록,noun
4005,assembly,집회,noun
4007,silk,실크,noun
4008,magnitude,크기,noun
4010,hostage,인질,noun
4011,collector,수집기,noun
4012,popularity,인기,noun
4013,kiss,키스,noun
4014,alien,외계인,noun
4017,equation,방정식,noun
4018,angel,천사,noun
4019,switch,스위치,noun
4020,offering,헌금,noun
4021,rage,격노,noun
4022,photography,사진술,noun
4024,toilet,화장실,noun
4031,Russian,러시아인,noun
4035,wake,일어나 다,noun
4036,gathering,모임,noun
4040,automobile,자동차,noun
4042,dawn,새벽,noun
4047,tide,조류,noun
4053,romance,로맨스,noun
4054,hardware,하드웨어,noun
4055,pillow,베개,noun
4056,kit,전부,noun
4057,cook,요리하다,noun
4058,spread,확산,noun
4059,continent,대륙,noun
4061,circuit,회로,noun
4062,sink,싱크대,noun
4063,ruling,지배,noun
4064,shortage,부족,noun
4067,trap,덫,noun
4069,fool,바보,noun
4070,deadline,마감 시간,noun
4072,processing,처리,noun
4073,ranch,농장,noun
4083,diamond,다이아몬드,noun
4084,credibility,믿을 수 있음,noun
4085,import,수입,noun
4090,sentiment,감정,noun
4091,cart,카트,noun
4094,elder,장로,noun
4095,pro,찬성,noun
4096,inspiration,영감,noun
4098,quantity,수량,noun
4099,trailer,트레일러,noun
4100,mate,친구,noun
4103,genius,천재,noun
4104,monument,기념물,noun
4105,bid,매기다,noun
4106,quest,탐구,noun
4107,sacrifice,희생,noun
4108,invitation,초대,noun
4109,accuracy,정확성,noun
4110,juror,배심원,noun
4112,broker,브로커,noun
4113,treasure,보물,noun
4114,loyalty,충의,noun
4118,gasoline,가솔린,noun
4120,output,산출,noun
4121,nominee,후보자,noun
4124,diabetes,당뇨병,noun
4128,jaw,턱,noun
4129,grief,고통,noun
4131,rocket,로켓,noun
4133,inmate,동거인,noun
4135,dynamics,역학,noun
4136,bow,절하다,noun
4138,senior,상위,noun
4139,dignity,위엄,noun
4140,carpet,양탄자,noun
4142,bubble,거품,noun
4144,buddy,친구,noun
4145,barn,외양간,noun
4146,sword,검,noun
4147,flash,플래시,noun
4149,glory,영광,noun
4153,drum,북,noun
4156,queen,퀸,noun
4157,dilemma,양도 논법,noun
4158,input,입력,noun
4160,northeast,북동,noun
4162,liability,책임,noun
4164,merchant,상인,noun
4165,stadium,경기장,noun
4168,defeat,패배시키다,noun
4170,withdrawal,철수,noun
4171,refrigerator,냉장고,noun
4172,nest,둥지,noun
4175,lane,레인,noun
4176,ancestor,선조,noun
4178,steam,증기,noun
4179,accent,악센트,noun
4180,escape,탈출하다,noun
4183,cage,새장,noun
4185,shrimp,새우,noun
4186,homeland,고향,noun
4188,rack,고문,noun
4189,costume,복장,noun
4190,wolf,늑대,noun
4191,courtroom,법정,noun
4192,statute,법령,noun
4193,cartoon,만화,noun
4195,productivity,생산력,noun
4198,seal,밀봉하다,noun
4199,bug,벌레,noun
4201,aunt,이모,noun
4202,agriculture,농업,noun
4209,bankruptcy,파산,noun
4210,vaccine,백신,noun
4211,bonus,보너스,noun
4212,collaboration,협동,noun
4215,orbit,궤도,noun
4217,patience,인내심,noun
4220,voting,투표,noun
4221,patrol,순찰,noun
4222,willingness,쾌히 하기,noun
4224,revelation,시현,noun
4225,rent,임차료,noun
4227,jewelry,보석류,noun
4228,hay,건초,noun
4231,trace,추적하다,noun
4232,wagon,왜건,noun
4239,reliability,신뢰할 수 있음,noun
4240,ass,나귀,noun
4242,bush,부시,noun
4246,clip,클립,noun
4247,thigh,대퇴골,noun
4248,bull,황소,noun
4249,drawer,서랍,noun
4251,sheep,양,noun
4253,coordinator,조정자,noun
4255,runner,달리는 사람,noun
4258,empire,제국,noun
4259,cab,택시,noun
4261,exam,시험,noun
4262,documentary,기록한 것,noun
4264,biology,생물학,noun
4267,web,편물,noun
4268,conspiracy,음모,noun
4269,catch,잡다,noun
4270,casualty,사상자 수,noun
4271,republic,공화국,noun
4272,execution,실행,noun
4274,whale,고래,noun
4278,instinct,본능,noun
4279,teammate,팀원,noun
4280,aluminum,알류미늄,noun
4282,ministry,내각,noun
4283,verdict,평결,noun
4285,skull,두개골,noun
4286,self-esteem,자아 존중감,noun
4287,ease,쉬움,noun
4290,bee,벌,noun
4291,practitioner,실무자,noun
4292,loop,고리,noun
4295,puzzle,퍼즐,noun
4296,mushroom,버섯,noun
4297,subsidy,보조금,noun
4300,mathematics,수학,noun
4301,mechanic,정비공,noun
4302,jar,항아리,noun
4304,earthquake,지진,noun
4305,pork,돼지 고기,noun
4306,creativity,창의성,noun
4309,dessert,디저트,noun
4310,sympathy,공감,noun
4311,fisherman,어부,noun
4313,isolation,격리,noun
4314,sock,양말,noun
4316,jump,도약,noun
4319,entrepreneur,기업가,noun
4320,syndrome,증후군,noun
4321,bureau,국,noun
